Date,Away Team,Away Score,Home Team,Home Score,Location
11/06/1869,Princeton,4,Rutgers,6,
11/13/1869,Rutgers,0,Princeton,8,
11/05/1870,Columbia,3,Rutgers,6,
11/12/1870,Rutgers,2,Princeton,6,
11/02/1872,Rutgers,0,Columbia,0,
11/09/1872,Columbia,5,Rutgers,7,
11/16/1872,Columbia,0,Yale,3,
11/16/1872,Rutgers,1,Princeton,4,
11/23/1872,Stevens,0,Columbia,6,
10/18/1873,New York University,1,Stevens,6,
10/25/1873,Columbia,2,Stevens,1,
10/25/1873,Rutgers,1,Yale,3,
11/01/1873,City College of New York,0,Stevens,6,
11/01/1873,Columbia,4,Rutgers,5,
11/08/1873,Rutgers,3,Columbia,4,
11/15/1873,Princeton,3,Yale,0,
12/06/1873,Eton,1,Yale,2,
10/24/1874,Columbia,1,Rutgers,6,
10/31/1874,Columbia,2,Stevens,4,
11/01/1874,Stevens,6,Rutgers,0,
11/07/1874,Columbia,0,Princeton,6,
11/10/1874,New York University,0,Stevens,6,
11/14/1874,Rutgers,1,Columbia,4,
11/18/1874,Rutgers,0,Princeton,6,
11/18/1874,Stevens,0,Yale,6,
11/21/1874,Columbia,1,Yale,5,
12/05/1874,Columbia,1,Yale,6,
10/17/1875,New York University,0,Stevens,5,
10/24/1875,Stevens,0,Rutgers,6,
10/30/1875,Harvard,1,Canada All-Stars,0,
10/31/1875,City College of New York,0,Stevens,6,
11/02/1875,Columbia,1,Rutgers,1,
11/04/1875,Columbia,2,Stevens,1,
11/06/1875,Columbia,5,City College of New York,0,
11/06/1875,Harvard,1,Tufts,0,
11/06/1875,Rutgers,1,Yale,4,
11/11/1875,City College of New York,0,Stevens,6,
11/13/1875,Columbia,2,Princeton,6,
11/13/1875,Harvard,4,Yale,0,
11/20/1875,Canada All-Stars,0,Harvard,1,
11/20/1875,City College of New York,0,Columbia,6,
11/20/1875,Stevens,0,Princeton,6,
11/20/1875,Wesleyan,0,Yale,6,
12/04/1875,Columbia,3,Yale,2,
11/01/1876,Princeton,6,Pennsylvania,0,
11/01/1876,Stevens,2,Rutgers,3,
11/04/1876,Columbia,3,Stevens,5,
11/04/1876,Harvard,2,Canada All-Stars,0,
11/11/1876,McGill,0,Harvard,1,
11/11/1876,New York University,0,Stevens,8,
11/11/1876,Princeton,3,Columbia,0,
11/17/1876,Philadelphia All-Stars,0,Pennsylvania,4,
11/18/1876,Harvard,0,Yale,1,
11/18/1876,Stevens,0,Columbia,4,
11/25/1876,Pennsylvania,0,Princeton,6,
11/30/1876,Princeton,0,Yale,2,"@ Hoboken, NJ"
12/09/1876,Yale,2,Columbia,0,"@ Hoboken, NJ"
03/03/1877,Princeton,0,Harvard,1,
10/27/1877,Harvard,6,Columbia,0,
10/27/1877,Rutgers,1,Stevens,4,
11/03/1877,Tufts,0,Yale,1,
11/06/1877,Rutgers,0,Columbia,1,
11/10/1877,Harvard,1,McGill,0,
11/13/1877,Columbia,1,Stevens,0,
11/14/1877,Stevens,0,Rutgers,5,
11/17/1877,Princeton,1,Harvard,0,neutral
11/17/1877,Tufts,4,Amherst,8,
11/21/1877,Trinity (Connecticut),0,Yale,7,
11/24/1877,Columbia,0,Princeton,4,
11/24/1877,Harvard,3,Tufts,0,
11/24/1877,Yale,13,Stevens,0,"@ Hoboken, NJ"
12/08/1877,Princeton,0,Yale,0,"@ Hoboken, NJ"
10/19/1878,Pennsylvania,0,Princeton,2,
10/26/1878,Amherst,1,Brown,0,
10/26/1878,Stevens,0,Princeton,4,
10/29/1878,Stevens,0,Rutgers,0,
11/02/1878,Amherst,0,Yale,2,
11/02/1878,Rutgers,0,Princeton,5,
11/02/1878,Swarthmore,0,Pennsylvania,9,
11/05/1878,Stevens,0,Columbia,0,
11/09/1878,Harvard,3,Amherst,0,
11/09/1878,Princeton,2,Pennsylvania,1,
11/09/1878,Rutgers,0,Stevens,1,
11/09/1878,Yale,2,Trinity (Connecticut),0,neutral
11/13/1878,Yale,3,Trinity (Connecticut),0,neutral
11/16/1878,Amherst,0,Yale,1,neutral
11/16/1878,Columbia,0,Pennsylvania,0,
11/16/1878,Princeton,1,Harvard,0,neutral
11/23/1878,Yale,1,Harvard,0,"@ Boston, MA"
11/28/1878,Princeton,1,Yale,0,"@ Hoboken, NJ"
12/07/1878,City College of New York,0,Rutgers,1,
10/09/1879,Stevens Alumni,0,Stevens,0,
10/18/1879,Harvard,2,Britannia,0,
10/18/1879,Pennsylvania,0,Princeton,6,
10/25/1879,Columbia,0,Stevens,0,
10/25/1879,Harvard,1,Britannia,0,
11/01/1879,Columbia,0,Princeton,2,
11/01/1879,Harvard,0,McGill,0,
11/01/1879,Pennsylvania,0,Yale,3,"@ Hoboken, NJ"
11/08/1879,Columbia,0,Pennsylvania,1,
11/08/1879,Harvard,0,Yale,0,
11/08/1879,Stevens,0,Princeton,7,
11/11/1879,Rutgers,1,Stevens,0,
11/15/1879,Pennsylvania Military,0,Pennsylvania,7,
11/15/1879,Princeton,1,Harvard,0,neutral
11/15/1879,Rutgers,0,Yale,5,
11/20/1879,Rutgers,0,Columbia,0,
11/22/1879,Yale,2,Columbia,0,"@ Hoboken, NJ"
11/23/1879,Stevens,3,Rutgers,3,
11/25/1879,Stevens,3,Rutgers,1,
11/27/1879,Princeton,0,Yale,0,"@ Hoboken, NJ"
12/06/1879,Stevens Alumni,0,Stevens,0,
12/13/1879,Rutgers,0,Stevens,0,
10/09/1880,Stevens,1,Rutgers,5,
10/16/1880,Harvard,0,Britannia,0,
10/16/1880,Rutgers,1,Stevens,0,
10/23/1880,Crescent A.C.,0,Pennsylvania,5,
10/23/1880,Harvard,2,Ottawa,1,
10/23/1880,Stevens,0,Princeton,6,
10/30/1880,Harvard,0,Montreal,0,
10/30/1880,Pennsylvania,0,Princeton,1,
11/02/1880,City College of New York,0,Stevens,2,
11/02/1880,Rutgers,0,Princeton,8,
11/06/1880,Harvard,3,Columbia,0,
11/06/1880,Stevens,0,Pennsylvania,3,
11/10/1880,Columbia,0,Yale,13,
11/13/1880,Brown,0,Yale,8,
11/13/1880,Pennsylvania,5,Stevens,0,
11/13/1880,Princeton,2,Harvard,1,neutral
11/13/1880,Rutgers,0,Columbia,3,
11/17/1880,Pennsylvania,0,Yale,8,"@ New York, NY"
11/20/1880,Yale,1,Harvard,0,"@ Boston, MA"
11/25/1880,Princeton,0,Yale,0,"@ New York, NY"
10/08/1881,Harvard,2,Montreal,0,
10/15/1881,Harvard,9,Ottawa,1,
10/15/1881,Rutgers,0,Princeton,3,
10/22/1881,Harvard,2,Britannia,0,
10/22/1881,Stevens,0,Princeton,7,
10/29/1881,Princeton,7,Pennsylvania,0,
10/29/1881,Yale,2,Amherst,0,
10/31/1881,Columbia,3,Stevens,1,
10/31/1881,Michigan,0,Harvard,1,"@ Boston, MA"
11/02/1881,Michigan,0,Yale,2,
11/02/1881,Pennsylvania,0,Harvard,2,"@ New York, NY"
11/03/1881,Rutgers,0,Stevens,1,
11/04/1881,Michigan,0,Princeton,1,
11/05/1881,Amherst,0,Yale,4,
11/05/1881,City College of New York,2,Stevens,2,
11/05/1881,Columbia,0,Harvard,1,
11/05/1881,Pennsylvania,0,Princeton,4,
11/08/1881,Columbia,0,Rutgers,0,
11/10/1881,Princeton,1,Rutgers,0,
11/12/1881,Columbia,0,Princeton,1,
11/12/1881,Dartmouth,1,Amherst,0,
11/12/1881,Harvard,0,Yale,1,
11/16/1881,Yale,1,Columbia,0,"@ New York, NY"
11/17/1881,City College of New York,0,Rutgers,10,
11/19/1881,Dartmouth,0,Amherst,0,
11/19/1881,Princeton,0,Harvard,0,neutral
11/19/1881,Rutgers,2,Pennsylvania,1,
11/23/1881,Rutgers,0,Columbia,1,
11/24/1881,Princeton,0,Yale,0,"@ New York, NY"
11/26/1881,Columbia,2,Pennsylvania,0,
10/07/1882,M.I.T.,0,Harvard,1,
10/07/1882,Wesleyan,0,Yale,9,
10/11/1882,Princeton Alumni,0,Princeton,5,
10/14/1882,Crescent A.C.,0,Pennsylvania,5,
10/14/1882,M.I.T.,0,Harvard,3,
10/14/1882,Massachusetts,0,Amherst,2,
10/14/1882,Rutgers,0,Princeton,5,
10/20/1882,City College of New York,0,Rutgers,7,
10/21/1882,Massachusetts,0,Wesleyan,7,
10/21/1882,McGill,0,Harvard,2,
10/21/1882,Rutgers,0,Yale,9,
10/28/1882,Harvard,1,Amherst,0,
10/28/1882,McGill,0,Dartmouth,5,
10/28/1882,Pennsylvania,0,Princeton,9,
10/28/1882,Wesleyan,7,Massachusetts,0,
10/28/1882,Yale,5,Rutgers,0,
11/04/1882,Amherst,0,Wesleyan,1,
11/04/1882,Dartmouth,0,Harvard,8,
11/04/1882,M.I.T.,0,Yale,6,
11/04/1882,Rutgers,1,Pennsylvania,0,
11/07/1882,City College of New York,0,Stevens,2,
11/07/1882,Lafayette,0,Rutgers,8,
11/07/1882,Princeton,8,Columbia,0,"@ New York, NY"
11/08/1882,Yale,9,Amherst,0,
11/09/1882,Columbia,0,Rutgers,2,
11/11/1882,Columbia,0,Harvard,2,
11/11/1882,Princeton,10,Pennsylvania,0,
11/14/1882,British Club of New York,1,Stevens,1,
11/14/1882,Princeton,3,Rutgers,0,
11/18/1882,Columbia,0,Yale,11,
11/18/1882,Pennsylvania,0,Rutgers,1,
11/18/1882,Princeton,1,Harvard,2,
11/24/1882,Rutgers,2,Stevens,0,
11/25/1882,Columbia,0,Princeton,3,
11/25/1882,Lafayette,0,Pennsylvania,1,
11/25/1882,Yale,1,Harvard,0,
12/01/1882,Princeton,1,Yale,2,"@ New York, NY"
03/12/1883,Detroit A.C.,5,Michigan,40,
09/26/1883,Wesleyan,0,Yale,60,
09/29/1883,Yale,94,Wesleyan,0,
10/06/1883,Stevens,0,Yale,59,
10/06/1883,Wesleyan,1,Harvard,23,
10/13/1883,Brooklyn Polytechnic Institute,0,Stevens,59,
10/13/1883,Pennsylvania,0,Harvard,4,
10/17/1883,Princeton,20,Rutgers,0,
10/20/1883,City College of New York,0,Columbia,12,
10/20/1883,Harvard,14,Stevens,4,
10/20/1883,Johns Hopkins,6,Pennsylvania,26,
10/20/1883,Rutgers,0,Wesleyan,37,
10/22/1883,Lafayette,7,Princeton,54,
10/24/1883,Princeton,14,Stevens,0,
10/27/1883,Columbia,0,Stevens,19,
10/27/1883,Lafayette,4,Pennsylvania,44,
10/27/1883,M.I.T.,1,Harvard,14,
10/27/1883,Rutgers,0,Princeton,61,
10/31/1883,City College of New York,2,Rutgers,54,
11/03/1883,Harvard,18,Wesleyan,6,
11/03/1883,Pennsylvania,6,Princeton,39,
11/03/1883,Stevens,14,Lafayette,4,
11/06/1883,Stevens,2,Harvard,11,
11/06/1883,Wesleyan,0,Princeton,24,"@ New York, NY"
11/06/1883,Yale,92,Rutgers,0,"@ Brooklyn, NY"
11/10/1883,Johns Hopkins,0,Pennsylvania,30,
11/10/1883,Rutgers,0,Lafayette,25,
11/10/1883,Williams,0,Harvard,39,
11/14/1883,Columbia,1,Pennsylvania,35,
11/14/1883,Yale,49,Brooklyn Polytechnic Institute,0," @ Brooklyn, NY"
11/17/1883,Harvard,7,Princeton,26,
11/17/1883,Rutgers,0,Pennsylvania,18,
11/17/1883,Seton Hall,0,Stevens,60,
11/17/1883,Williams,0,Wesleyan,21,
11/17/1883,Yale,93,Columbia,0,"@ New York, NY"
11/19/1883,Michigan,6,Wesleyan,14,
11/21/1883,Michigan,0,Yale,64,
11/22/1883,Michigan,0,Harvard,3,
11/24/1883,Lafayette,11,Stevens,14,
11/24/1883,Pennsylvania Alumni,7,Pennsylvania,38,
11/24/1883,Princeton,0,Yale,6,"@ New York, NY"
11/27/1883,Michigan,1,Stevens,5,
11/29/1883,Stevens,6,Pennsylvania,6,
11/29/1883,Yale,23,Harvard,2,"@ New York, NY"
11/30/1883,Lafayette,59,Lewisburg A.C.,0,
10/01/1884,Wesleyan,0,Yale,31,
10/08/1884,Princeton,4,Stevens,0,
10/10/1884,Princeton,23,Rutgers,5,
10/11/1884,Stevens,0,Yale,96,
10/15/1884,Columbia,5,Rutgers,35,
10/15/1884,Wesleyan,2,Princeton,22,
10/18/1884,M.I.T.,5,Harvard,43,
10/18/1884,Rutgers,0,Princeton,35,
10/18/1884,Wesleyan,0,Yale,63,neutral
10/20/1884,Stevens Alumni,0,Stevens,15,
10/22/1884,Pennsylvania,4,Harvard,0,
10/22/1884,Yale,76,Rutgers,10,
10/25/1884,Harvard,42,M.I.T.,0,
10/25/1884,Lehigh,0,Lafayette,50,
10/25/1884,Princeton,31,Pennsylvania,0,
10/25/1884,Yale,113,Dartmouth,0,
10/29/1884,Lafayette,0,Princeton,140,
10/29/1884,Trinity (Connecticut),0,Harvard,67,
10/29/1884,Wesleyan,11,Stevens,0,
11/01/1884,Harvard,0,Wesleyan,16,
11/01/1884,Lafayette,0,Pennsylvania,21,
11/01/1884,Lehigh,0,Rutgers,61,
11/01/1884,Stevens,0,Princeton,58,
11/05/1884,Wesleyan,0,Yale,46,
11/05/1884,Williams,0,Harvard,23,
11/08/1884,Harvard,20,Ottawa,6,
11/08/1884,Johns Hopkins,0,Princeton,57,
11/08/1884,Lafayette,0,Rutgers,26,
11/08/1884,Stevens,0,Pennsylvania,30,
11/12/1884,Harvard,29,Dartmouth,0,
11/12/1884,Lafayette,34,Lehigh,4,
11/15/1884,Haverford,36,Lehigh,12,
11/15/1884,Johns Hopkins,0,Pennsylvania,33,
11/15/1884,Stevens,18,Lafayette,4,
11/15/1884,Tufts,0,Harvard,51,
11/15/1884,Wesleyan,31,Rutgers,0,"@ New York, NY"
11/18/1884,Yale/Princeton/Harvard Grads,4,Stevens,24,
11/19/1884,Princeton,36,Harvard,6,
11/19/1884,Yale Alumni,0,Yale,18,
11/20/1884,Pennsylvania Alumni,16,Pennsylvania,16,
11/22/1884,Harvard,0,Yale,52,
11/27/1884,Lafayette,0,Stevens,52,
11/27/1884,Princeton,0,Yale,0,"@ New York, NY"
11/27/1884,Wesleyan,12,Pennsylvania,14,"@ New York, NY"
10/03/1885,Princeton,94,Stevens,0,
10/07/1885,Pennsylvania Alumni,0,Pennsylvania,42,
10/10/1885,Lehigh,0,Pennsylvania,54,
10/10/1885,Massachusetts,0,Wesleyan,80,
10/10/1885,Yale,55,Stevens,0,
10/14/1885,Stevens,0,Princeton,76,
10/14/1885,Swarthmore,6,Pennsylvania,68,
10/14/1885,Wesleyan,0,Yale,18,neutral
10/17/1885,Lehigh,8,Haverford,24,
10/17/1885,Pennsylvania Alumni,5,Pennsylvania,6,
10/24/1885,Princeton,57,Pennsylvania,0,
10/24/1885,Stevens,12,Lafayette,16,
10/28/1885,Lafayette,10,Pennsylvania,54,
10/28/1885,Wesleyan,0,Yale,71,
10/31/1885,Lafayette,0,Lehigh,0,
10/31/1885,Pennsylvania,10,Princeton,80,
10/31/1885,Trinity (Connecticut),0,Wesleyan,60,
10/31/1885,Yale,51,M.I.T.,0,"@ Boston, MA"
11/03/1885,City College of New York,0,Stevens,162,
11/03/1885,Crescent A.C.,0,Yale,52,
11/04/1885,Pennsylvania,30,Lafayette,22,
11/04/1885,Rutgers,5,Lehigh,10,
11/07/1885,Princeton,64,Columbia Law,0,
11/07/1885,Stevens,20,Lehigh,4,
11/07/1885,Wesleyan,25,Pennsylvania,18,"@ New York, NY"
11/11/1885,Johns Hopkins,0,Princeton,10,
11/11/1885,Lafayette,23,Stevens,18,
11/14/1885,Stevens,86,City College of New York,0,
11/14/1885,Wesleyan,0,Princeton,76,
11/14/1885,Yale,53,Pennsylvania,5,
11/18/1885,Lehigh,0,Pennsylvania,35,
11/21/1885,Lehigh,6,Lafayette,6,
11/21/1885,Pennsylvania,23,Stevens,9,
11/21/1885,Princeton,6,Yale,5,
11/26/1885,Princeton,76,Pennsylvania,10,
11/26/1885,Wesleyan,0,Yale,61,"@ New York, NY"
09/29/1886,Tufts,0,Williams,61,
09/30/1886,Falls of Schuylkill,0,Pennsylvania,64,
10/02/1886,Harvard,82,Tufts,0,
10/02/1886,Tioga,0,Pennsylvania,18,
10/02/1886,Williams,14,M.I.T.,14,
10/06/1886,Harvard,54,M.I.T.,0,
10/06/1886,Wesleyan,0,Yale,75,
10/06/1886,Williams,33,Tufts,4,
10/09/1886,Lehigh,4,Pennsylvania,26,
10/09/1886,M.I.T.,0,Williams,21,
10/09/1886,Stevens,0,Princeton,58,
10/09/1886,Tufts,0,Harvard,46,
10/09/1886,Yale,62,Wesleyan,0,
10/13/1886,Amherst,18,Tufts,4,
10/13/1886,Lafayette,20,Swarthmore,12,
10/13/1886,Pennsylvania Alumni,0,Pennsylvania,4,
10/13/1886,Princeton,61,Stevens,6,
10/16/1886,Amherst,0,Wesleyan,47,
10/16/1886,Dartmouth,11,Andover,18,
10/16/1886,M.I.T.,0,Yale,96,
10/16/1886,Princeton,30,Pennsylvania,0,
10/16/1886,Rutgers,2,Lafayette,28,
10/16/1886,Stevens,0,Harvard,44,
10/18/1886,Dickinson,5,Lafayette,24,
10/18/1886,Philadelphia All-Stars,6,Pennsylvania,6,
10/20/1886,M.I.T.,0,Harvard,59,
10/20/1886,Pennsylvania,0,Lafayette,12,
10/20/1886,Tufts,4,Amherst,22,
10/20/1886,Yale,54,Stevens,0,
10/23/1886,Exeter,18,Tufts,8,
10/23/1886,Harvard,86,Andover,0,
10/23/1886,Lafayette,5,Stevens,0,
10/23/1886,Lehigh,26,Dickinson,0,
10/23/1886,M.I.T.,6,Dartmouth,11,
10/23/1886,Massachusetts,0,Amherst,13,
10/23/1886,Pennsylvania,9,Princeton,55,
10/23/1886,Yale,76,Williams,0,
10/27/1886,Dartmouth,91,Vermont,0,
10/27/1886,Wesleyan,0,Pennsylvania,14,"@ New York, NY"
10/30/1886,Amherst,0,M.I.T.,22,
10/30/1886,Harvard,70,Dartmouth,0,neutral
10/30/1886,Lafayette,10,Pennsylvania,20,
10/30/1886,Lehigh,0,Stevens,0,
10/30/1886,Massachusetts,6,Tufts,5,
10/30/1886,Wesleyan,0,Yale,136,
11/02/1886,Yale,84,Crescent A.C.,0,"@ New York, NY"
11/03/1886,Harvard,158,Exeter,0,
11/03/1886,Haverford,4,Pennsylvania,16,
11/06/1886,Lehigh,0,Lafayette,12,
11/06/1886,Princeton,28,Pennsylvania,6,
11/06/1886,Tufts,8,M.I.T.,26,
11/06/1886,Vineland,0,Rutgers,58,
11/06/1886,Wesleyan,0,Harvard,34,
11/06/1886,Williams,15,Amherst,2,
11/10/1886,Harvard Alumni,0,Harvard,38,
11/10/1886,Rutgers,0,Pennsylvania,65,
11/11/1886,Lafayette,12,Trinity (Connecticut),0,
11/13/1886,Amherst,0,Williams,11,
11/13/1886,Harvard,0,Princeton,12,
11/13/1886,Lafayette,0,Wesleyan,26,
11/13/1886,Pennsylvania,0,Yale,75,
11/13/1886,Stevens,0,Lehigh,14,
11/15/1886,Vineland,6,Pennsylvania,96,
11/17/1886,Harvard,62,M.I.T.,0,
11/17/1886,Lafayette,26,Rutgers,10,
11/18/1886,Pennsylvania,0,Lehigh,28,
11/20/1886,Haverford,4,Lehigh,18,
11/20/1886,Princeton,76,Wesleyan,6,
11/20/1886,Stevens,0,Lafayette,58,
11/20/1886,Yale,29,Harvard,4,
11/24/1886,Lafayette,4,Lehigh,0,
11/25/1886,Harvard,28,Pennsylvania,0,
11/25/1886,Yale,0,Princeton,0,
10/01/1887,Amherst,0,Wesleyan,34,
10/01/1887,Harvard,86,Tufts,0,
10/05/1887,Harvard,68,Exeter,0,
10/05/1887,Wesleyan,0,Yale,38,
10/08/1887,Boston University,0,Tufts,5,
10/08/1887,Lafayette,0,Princeton,47,
10/08/1887,M.I.T.,0,Harvard,62,
10/08/1887,Pennsylvania Alumni,6,Pennsylvania,14,
10/08/1887,Stevens,0,Rutgers,26,
10/08/1887,Swarthmore,0,Lehigh,24,
10/08/1887,Williams,54,Amherst,0,
10/12/1887,Lafayette,12,Dickinson,0,
10/12/1887,Princeton,30,Rutgers,0,
10/12/1887,Tioga,0,Pennsylvania,46,
10/12/1887,Trinity (Connecticut),0,Wesleyan,58,
10/15/1887,Amherst,10,Massachusetts,0,
10/15/1887,Dartmouth,52,Tufts,0,
10/15/1887,Lehigh,0,Princeton,80,
10/15/1887,Pennsylvania Alumni,0,Pennsylvania,18,
10/15/1887,Rutgers,0,Lafayette,20,
10/15/1887,Williams,6,Harvard,52,
10/15/1887,Yale,106,Wesleyan,0,
10/19/1887,Haverford,4,Lafayette,12,
10/19/1887,Massachusetts,4,Trinity (Connecticut),32,
10/19/1887,Princeton,57,Pennsylvania,0,
10/19/1887,Rutgers,5,Stevens,2,
10/22/1887,Amherst,0,Harvard,98,
10/22/1887,Boston University,14,Trinity (Connecticut),14,
10/22/1887,Dartmouth,4,Stevens,4,
10/22/1887,Dickinson,0,Lehigh,20,
10/22/1887,Pennsylvania,0,Princeton,42,
10/22/1887,Swarthmore,6,Lafayette,31,
10/22/1887,Tufts,6,Maine,12,
10/22/1887,Yale,74,Williams,0,
10/26/1887,Amherst,0,Dartmouth,52,
10/26/1887,Williams,6,Wesleyan,18,
10/29/1887,Active Football Club,10,Stevens,4,
10/29/1887,Boston University,0,Amherst,22,
10/29/1887,Lafayette,4,Lehigh,10,
10/29/1887,Rutgers,6,Williams,12,
10/29/1887,Trinity (Connecticut),0,M.I.T.,72,
10/29/1887,Tufts,0,Harvard,68,
10/29/1887,Wesleyan,0,Princeton,69,
10/29/1887,Yale,50,Pennsylvania,0,
11/02/1887,Exeter,0,Harvard,54,
11/02/1887,Rutgers,10,Pennsylvania,13,
11/05/1887,Dartmouth,15,M.I.T.,24,
11/05/1887,Princeton,95,Pennsylvania,0,
11/05/1887,Rutgers,0,Yale,74,
11/05/1887,Trinity (Connecticut),22,Amherst,6,
11/05/1887,Tufts,8,Exeter,29,
11/05/1887,Union (New York),0,Williams,94,
11/05/1887,Wesleyan,0,Harvard,110,
11/08/1887,Yale,68,Crescent A.C.,0,"@ New York, NY"
11/09/1887,Haverford,0,Pennsylvania,36,
11/12/1887,Amherst,0,M.I.T.,54,
11/12/1887,"Harvard ""B""",0,Tufts,22,
11/12/1887,Lafayette,36,Rutgers,0,
11/12/1887,Lehigh,4,Pennsylvania,6,
11/12/1887,Princeton,0,Harvard,12,
11/12/1887,Stevens,0,Trinity (Connecticut),26,
11/12/1887,Wesleyan,4,Yale,76,
11/16/1887,Lafayette,20,Pennsylvania,0,
11/19/1887,Andover,6,Tufts,32,
11/19/1887,Dartmouth,66,Trinity (Connecticut),0,
11/19/1887,M.I.T.,20,Stevens,0,
11/19/1887,Pennsylvania,0,Harvard,42,
11/19/1887,Princeton,0,Yale,12,"@ New York, NY"
11/19/1887,Williston,0,Amherst,44,
11/23/1887,Lehigh,0,Lafayette,6,
11/24/1887,M.I.T.,36,Tufts,0,
11/24/1887,Stevens,6,Amherst,16,
11/24/1887,Wesleyan,10,Pennsylvania,4,"@ New York, NY"
11/24/1887,Yale,17,Harvard,8,"@ New York, NY"
11/26/1887,Lehigh,38,Cornell,10,
09/29/1888,Wesleyan,0,Yale,76,
10/03/1888,Amherst,0,Trinity (Connecticut),16,
10/03/1888,Harvard,70,Worcester Tech,0,
10/03/1888,Lehigh,0,Princeton,65,
10/03/1888,Olympic A.C.,0,Stevens,2,
10/03/1888,Philadelphia All-Stars,6,Pennsylvania,20,
10/06/1888,Lehigh,12,Swarthmore,8,
10/06/1888,M.I.T.,0,Harvard,18,
10/06/1888,Princeton,31,Crescent A.C.,0,"@ New York, NY"
10/06/1888,Rutgers,0,Yale,65,
10/06/1888,Stevens,0,Pennsylvania,48,
10/06/1888,Wesleyan,54,Amherst,0,
10/10/1888,Bucknell,0,Lafayette,54,
10/10/1888,Harvard,30,Exeter,6,
10/10/1888,Pennsylvania,0,Princeton,63,
10/10/1888,Trinity (Connecticut),0,Amherst,0,
10/13/1888,Amherst,0,Williams,53,
10/13/1888,Harvard,34,Wesleyan,0,
10/13/1888,Lafayette,18,Swarthmore,0,
10/13/1888,Stevens,0,Princeton,80,
10/13/1888,Yale,34,Pennsylvania,0,
10/16/1888,Yale,46,Wesleyan,0,
10/17/1888,Harvard,14,Williams,6,
10/17/1888,Haverford,6,Lehigh,16,
10/17/1888,Pennsylvania,44,Swarthmore,6,
10/19/1888,Yale,39,Amherst,0,
10/20/1888,Andover,0,Harvard,68,
10/20/1888,Lafayette,4,Rutgers,0,
10/20/1888,M.I.T.,18,Stevens,12,
10/20/1888,Palmyra,0,Cornell,26,
10/20/1888,Pennsylvania,0,Princeton,38,
10/20/1888,Swarthmore,0,Lehigh,50,
10/20/1888,Yale,30,Williams,0,
10/24/1888,Bucknell,0,Lehigh,74,
10/24/1888,M.I.T.,0,Yale,68,neutral
10/24/1888,Princeton,80,Rutgers,0,
10/24/1888,Tioga,4,Pennsylvania,12,
10/24/1888,Worcester Tech,0,Harvard,68,
10/27/1888,Amherst,0,M.I.T.,48,
10/27/1888,Dartmouth,0,Harvard,74,
10/27/1888,Lafayette,18,Haverford,0,
10/27/1888,Massachusetts,0,Trinity (Connecticut),34,
10/27/1888,Pennsylvania,36,Lehigh,0,
10/27/1888,Rutgers,0,Princeton,82,
10/27/1888,Stevens,0,Yale,69,
10/27/1888,Williams,0,Cornell,20,
10/31/1888,Dartmouth,10,Exeter,12,
10/31/1888,Johns Hopkins,0,Princeton,104,
10/31/1888,M.I.T.,0,Harvard,42,
11/01/1888,Stevens,18,Rutgers,18,
11/02/1888,Williams,42,Rutgers,0,
11/03/1888,Amherst,0,Harvard,102,
11/03/1888,Bucknell,10,Wyoming Seminary,4,
11/03/1888,Dartmouth,4,Andover,14,
11/03/1888,Lehigh,30,Penn State,0,
11/03/1888,Pennsylvania,0,Yale,54,
11/03/1888,Swarthmore,0,Haverford,6,
11/03/1888,Trinity (Connecticut),6,Stevens,0,
11/03/1888,Union (New York),0,Cornell,30,
11/05/1888,Rutgers,18,Ridgefield A.C.,6,
11/06/1888,Wesleyan,0,Princeton,44,"@ New York, NY"
11/06/1888,Yale,28,Crescent A.C.,0,"@ Brooklyn, NY"
11/07/1888,Lafayette,12,Pennsylvania,6,
11/07/1888,Rutgers,0,Lehigh,30,
11/10/1888,Amherst,0,Yale,70,
11/10/1888,Dickinson,8,Bucknell,18,
11/10/1888,Fordham,0,Trinity (Connecticut),60,
11/10/1888,Lafayette,16,Cornell,0,
11/10/1888,Lehigh,10,Stevens,0,
11/10/1888,Princeton,4,Pennsylvania,0,
11/10/1888,Wesleyan,2,Harvard,50,
11/10/1888,Williams,6,Dartmouth,36,
11/17/1888,Bucknell,0,Cornell,20,
11/17/1888,Harvard,6,Princeton,18,
11/17/1888,Lehigh,6,Lafayette,4,
11/17/1888,M.I.T.,0,Dartmouth,30,
11/17/1888,Massachusetts,0,Amherst,58,
11/17/1888,Wesleyan,0,Yale,105,
11/17/1888,Williams,42,Stevens,4,
11/17/1888,Worcester Tech,4,Trinity (Connecticut),8,
11/19/1888,Dartmouth,0,Stevens,30,
11/19/1888,Harvard,50,Pennsylvania,0,
11/21/1888,Pennsylvania,50,Lafayette,0,
11/24/1888,Amherst,45,Massachusetts,4,
11/24/1888,M.I.T.,0,Williams,22,
11/24/1888,Princeton,0,Yale,10,"@ New York, NY"
11/24/1888,Worcester Tech,4,Wesleyan,24,
11/27/1888,Lafayette,0,Lehigh,16,
11/27/1888,Wesleyan,6,Pennsylvania,18,"@ New York, NY"
11/29/1888,Dartmouth,40,Amherst,0,
11/29/1888,Trinity (Connecticut),0,Worcester Tech,6,
11/30/1888,Pennsylvania,24,Johns Hopkins,10,
12/01/1888,Cornell,0,Lehigh,4,
12/01/1888,Pennsylvania,20,Navy,9,
09/28/1889,Trinity (Connecticut),0,Stevens,5,
09/28/1889,Wesleyan,0,Yale,38,
